"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Slc6a11"	0	3.87499608751543	0.923	0.147	0	"0"	"Slc6a11"
"RP23-168E14.7"	0	3.74391959346431	0.809	0.12	0	"0"	"RP23-168E14.7"
"Htra1"	0	3.63751548245726	0.752	0.091	0	"0"	"Htra1"
"Aldoc"	0	3.62469460570277	0.963	0.283	0	"0"	"Aldoc"
"Cldn10"	0	3.50188438294511	0.656	0.046	0	"0"	"Cldn10"
"Gja1"	0	3.48367950494883	0.834	0.116	0	"0"	"Gja1"
"Atp1b2"	0	3.44323899508014	0.907	0.314	0	"0"	"Atp1b2"
"Ntsr2"	0	3.40026122796253	0.846	0.095	0	"0"	"Ntsr2"
"Slc1a2"	0	3.37409691939084	0.908	0.228	0	"0"	"Slc1a2"
"Atp1a2"	0	3.34260837396173	0.971	0.325	0	"0"	"Atp1a2"
"Plpp3"	0	3.27186812327914	0.832	0.226	0	"0"	"Plpp3"
"Fgfr3"	0	3.2053922238659	0.653	0.062	0	"0"	"Fgfr3"
"Gpr37l1"	0	3.20190517397195	0.811	0.169	0	"0"	"Gpr37l1"
"Mt1"	0	3.19346106048788	0.991	0.57	0	"0"	"Mt1"
"F3"	0	3.17650075843714	0.581	0.047	0	"0"	"F3"
"RP23-168E14.4"	0	3.17058317173478	0.658	0.072	0	"0"	"RP23-168E14.4"
"Slc4a4"	0	3.11388071109422	0.75	0.105	0	"0"	"Slc4a4"
"Pla2g7"	0	3.00715181477667	0.612	0.068	0	"0"	"Pla2g7"
"Apoe"	0	2.98584633635866	0.997	0.383	0	"0"	"Apoe"
"Id2"	0	2.96692316367619	0.63	0.133	0	"0"	"Id2"
"Gjb6"	0	2.93721941145899	0.563	0.057	0	"0"	"Gjb6"
"Sparcl1"	0	2.91467093886296	0.968	0.361	0	"0"	"Sparcl1"
"Clu"	0	2.88608219628853	0.797	0.175	0	"0"	"Clu"
"Enho"	0	2.87932929126708	0.605	0.127	0	"0"	"Enho"
"Itih3"	0	2.84649910869172	0.522	0.066	0	"0"	"Itih3"
"Mt2"	0	2.84483156210065	0.733	0.17	0	"0"	"Mt2"
"Btbd17"	0	2.83870242319823	0.452	0.046	0	"0"	"Btbd17"
"Tril"	0	2.82269821174883	0.613	0.121	0	"0"	"Tril"
"Agt"	0	2.73537609367423	0.572	0.062	0	"0"	"Agt"
"Sdc4"	0	2.71021779487404	0.529	0.077	0	"0"	"Sdc4"
"Slc1a3"	0	2.7031155170971	0.55	0.118	0	"0"	"Slc1a3"
"Acsbg1"	0	2.65121533522455	0.51	0.057	0	"0"	"Acsbg1"
"Aqp4"	0	2.62365054566544	0.717	0.094	0	"0"	"Aqp4"
"Ndrg2"	0	2.61327356065264	0.811	0.216	0	"0"	"Ndrg2"
"Nkain4"	0	2.60283388104204	0.525	0.101	0	"0"	"Nkain4"
"RP24-84B10.1"	0	2.59335794277314	0.624	0.209	0	"0"	"RP24-84B10.1"
"Eva1a"	0	2.57965705755115	0.468	0.059	0	"0"	"Eva1a"
"Bcan"	0	2.5215512681552	0.726	0.176	0	"0"	"Bcan"
"Mfge8"	0	2.50246444352289	0.509	0.111	0	"0"	"Mfge8"
"Cxcl14"	0	2.457320908091	0.649	0.15	0	"0"	"Cxcl14"
"Lfng"	0	2.45719507058573	0.447	0.068	0	"0"	"Lfng"
"Slc6a1"	0	2.39414219920153	0.715	0.315	0	"0"	"Slc6a1"
"Ncan"	0	2.34349361372087	0.766	0.27	0	"0"	"Ncan"
"Dbx2"	0	2.34113915137538	0.393	0.046	0	"0"	"Dbx2"
"Slc7a10"	0	2.33158730558014	0.341	0.021	0	"0"	"Slc7a10"
"Ntrk2"	0	2.28879681968527	0.694	0.297	0	"0"	"Ntrk2"
"Slc25a18"	0	2.26745159739382	0.441	0.065	0	"0"	"Slc25a18"
"Prdx6"	0	2.22820847328208	0.705	0.302	0	"0"	"Prdx6"
"Ptprz1"	0	2.17195982098924	0.641	0.161	0	"0"	"Ptprz1"
"Glul"	0	2.09675269210693	0.91	0.534	0	"0"	"Glul"
"Cpe"	0	2.07495015470024	0.806	0.394	0	"0"	"Cpe"
"Mt3"	0	1.91284601407819	0.744	0.319	0	"0"	"Mt3"
"Ckb"	0	1.87441349075896	0.828	0.601	0	"0"	"Ckb"
"Malat1"	0	1.55631363641824	0.914	0.939	0	"0"	"Malat1"
"Cst3"	0	1.55507075292835	0.996	0.738	0	"0"	"Cst3"
"Mmd2"	5.63459074809706e-305	2.16071712983849	0.689	0.302	1.32846746067884e-300	"0"	"Mmd2"
"Ttyh1"	3.33679856384696e-304	2.11744518615982	0.739	0.403	7.86716997398198e-300	"0"	"Ttyh1"
"Serpine2"	4.58148893261957e-304	2.06472837219961	0.677	0.259	1.08017764564372e-299	"0"	"Serpine2"
"Tlcd1"	3.11750671475343e-283	2.2322279616225	0.356	0.043	7.35014558137416e-279	"0"	"Tlcd1"
"Luzp2"	8.03071563003697e-277	2.29912310034343	0.598	0.226	1.89340182409382e-272	"0"	"Luzp2"
"Timp4"	1.56109016741469e-274	2.23762562498502	0.491	0.119	3.68058228771362e-270	"0"	"Timp4"
"Prnp"	4.62602748866734e-269	1.98811853244591	0.749	0.537	1.0906785010031e-264	"0"	"Prnp"
"Lxn"	6.15281708427961e-265	2.24217364360281	0.419	0.08	1.4506496839606e-260	"0"	"Lxn"
"Slc39a12"	1.55723007120439e-264	2.02994210773007	0.289	0.023	3.67148133887859e-260	"0"	"Slc39a12"
"Acsl6"	1.10025267952652e-263	2.34224486980242	0.466	0.116	2.59406574251969e-259	"0"	"Acsl6"
"Hes5"	3.41548633850242e-262	2.71115146925703	0.354	0.048	8.05269214028716e-258	"0"	"Hes5"
"Ramp1"	1.86505685756708e-259	1.88850116208219	0.55	0.157	4.39724455308591e-255	"0"	"Ramp1"
"Fam181b"	2.11097637535329e-257	2.29673061759175	0.424	0.091	4.97704900017046e-253	"0"	"Fam181b"
